price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
28099,69.32352941,8,512,15.6,1366,768,1
415000,67,16,1024,17,1920,2560,1
64990,66,16,512,13.3,1920,1080,2
84990,69,16,1024,13.3,1920,1080,2
52999,67,16,1024,15.6,1920,1080,1
34999,63,8,512,15.6,1920,1080,1
65990,67,16,1024,15.6,1920,1080,1
56990,67,8,512,15.6,1920,1080,1
88999,64,16,1024,15.6,1920,1080,1
35990,69.32352941,8,512,15.6,1920,1080,1
111490,76,16,512,14,2880,1800,1
50990,69.32352941,8,512,15.6,1366,768,1
89500,64,16,512,15.6,1920,1080,1
66388,62,16,512,14,1920,1200,1
66990,63,16,1024,15.6,1920,1080,1
74990,64,16,1024,15.6,1920,1080,1
26990,69.32352941,8,512,15.6,1366,768,1
65990,69.32352941,8,1024,15.6,1920,1080,1
87990,73,16,1024,16,1920,1200,1
36480,69.32352941,8,512,15.6,1920,1080,1
